Id,Age,GrLivArea,LotFrontage,LotArea,Fence,2ndFloor,Basement,Garage,target
1.0,5.0,1710.0,65.0,8450.0,False,True,True,True,208500.0
2.0,31.0,1262.0,80.0,9600.0,False,False,True,True,181500.0
3.0,7.0,1786.0,68.0,11250.0,False,True,True,True,223500.0
5.0,8.0,2198.0,84.0,14260.0,False,True,True,True,250000.0
6.0,16.0,1362.0,85.0,14115.0,True,True,True,True,143000.0
7.0,3.0,1694.0,75.0,10084.0,False,False,True,True,307000.0
8.0,36.0,2090.0,,10382.0,False,True,True,True,200000.0
10.0,69.0,1077.0,50.0,7420.0,False,False,True,True,118000.0
11.0,43.0,1040.0,70.0,11200.0,False,False,True,True,129500.0
12.0,1.0,2324.0,85.0,11924.0,False,True,True,True,345000.0
13.0,46.0,912.0,,12968.0,False,False,True,True,144000.0
14.0,1.0,1494.0,91.0,10652.0,False,False,True,True,279500.0
15.0,48.0,1253.0,,10920.0,True,False,True,True,157000.0
16.0,78.0,854.0,51.0,6120.0,True,False,True,True,132000.0
17.0,40.0,1004.0,,11241.0,False,False,True,True,149000.0
18.0,39.0,1296.0,72.0,10791.0,False,False,False,True,90000.0
19.0,4.0,1114.0,66.0,13695.0,False,False,True,True,159000.0
21.0,1.0,2376.0,101.0,14215.0,False,True,True,True,325300.0
22.0,77.0,1108.0,57.0,7449.0,True,False,True,True,139400.0
23.0,6.0,1795.0,75.0,9742.0,False,False,True,True,230000.0
24.0,31.0,1060.0,44.0,4224.0,False,False,True,True,129900.0
25.0,42.0,1060.0,,8246.0,True,False,True,True,154000.0
26.0,2.0,1600.0,110.0,14230.0,False,False,True,True,256300.0
27.0,59.0,900.0,60.0,7200.0,False,False,True,True,134800.0
28.0,3.0,1704.0,98.0,11478.0,False,False,True,True,306000.0
29.0,49.0,1600.0,47.0,16321.0,False,False,True,True,207500.0
30.0,81.0,520.0,60.0,6324.0,False,False,True,True,68500.0
32.0,42.0,1228.0,,8544.0,True,False,True,True,149350.0
33.0,1.0,1234.0,85.0,11049.0,False,False,True,True,179900.0
34.0,51.0,1700.0,70.0,10552.0,False,False,True,True,165500.0
35.0,2.0,1561.0,60.0,7313.0,False,False,True,True,277500.0
36.0,2.0,2452.0,108.0,13418.0,False,True,True,True,309000.0
37.0,15.0,1097.0,112.0,10859.0,False,False,True,True,145000.0
38.0,55.0,1297.0,74.0,8532.0,False,False,True,True,153000.0
40.0,53.0,1152.0,65.0,6040.0,False,False,False,False,82000.0
42.0,48.0,1328.0,115.0,16905.0,False,False,True,True,170000.0
43.0,24.0,884.0,,9180.0,True,False,True,True,144000.0
44.0,33.0,938.0,,9200.0,True,False,True,True,130250.0
45.0,47.0,1150.0,70.0,7945.0,False,False,True,True,141000.0
46.0,5.0,1752.0,61.0,7658.0,False,False,True,True,319900.0
48.0,1.0,1656.0,84.0,11096.0,False,False,True,True,249700.0
49.0,89.0,1452.0,33.0,4456.0,False,True,True,False,113000.0
50.0,41.0,955.0,66.0,7742.0,True,False,True,True,127000.0
51.0,10.0,1470.0,,13869.0,False,True,True,True,177000.0
52.0,72.0,1176.0,52.0,6240.0,True,False,True,True,114500.0
53.0,47.0,816.0,110.0,8472.0,False,False,True,True,110000.0
54.0,25.0,1842.0,68.0,50271.0,False,False,True,True,385000.0
55.0,52.0,1360.0,60.0,7134.0,True,False,True,True,130000.0
56.0,44.0,1425.0,100.0,10175.0,False,False,True,True,180500.0
58.0,2.0,1720.0,89.0,11645.0,False,True,True,True,196500.0
59.0,0.0,2945.0,66.0,13682.0,False,True,True,True,438780.0
60.0,36.0,780.0,60.0,7200.0,True,False,True,True,124900.0
61.0,2.0,1158.0,63.0,13072.0,False,False,True,True,158000.0
62.0,87.0,1111.0,60.0,7200.0,False,True,True,True,101000.0
63.0,1.0,1370.0,44.0,6442.0,False,False,True,True,202500.0
64.0,89.0,1710.0,50.0,10300.0,True,True,True,True,140000.0
65.0,12.0,2034.0,,9375.0,True,True,True,True,219500.0
66.0,3.0,2473.0,76.0,9591.0,False,True,True,True,317000.0
67.0,40.0,2207.0,,19900.0,False,False,True,True,180000.0
68.0,4.0,1479.0,72.0,10665.0,False,False,True,True,226000.0
69.0,65.0,747.0,47.0,4608.0,False,False,True,True,80000.0
70.0,53.0,2287.0,81.0,15593.0,False,True,True,True,225000.0
71.0,34.0,2223.0,95.0,13651.0,False,False,True,True,244000.0
72.0,25.0,845.0,69.0,7599.0,False,False,True,True,129500.0
73.0,11.0,1718.0,74.0,10141.0,False,True,True,True,185000.0
74.0,56.0,1086.0,85.0,10200.0,True,False,True,True,144900.0
75.0,95.0,1605.0,60.0,5790.0,False,True,True,True,107400.0
76.0,36.0,988.0,21.0,1596.0,True,True,True,True,91000.0
77.0,52.0,952.0,,8475.0,False,False,True,True,135750.0
78.0,60.0,1285.0,50.0,8635.0,True,True,True,True,127000.0
79.0,42.0,1768.0,72.0,10778.0,False,False,True,False,136500.0
80.0,99.0,1230.0,60.0,10440.0,True,True,True,True,110000.0
81.0,41.0,2142.0,100.0,13000.0,False,True,True,True,193500.0
82.0,8.0,1337.0,32.0,4500.0,False,False,True,True,153500.0
83.0,1.0,1563.0,78.0,10206.0,False,False,True,True,245000.0
84.0,47.0,1065.0,80.0,8892.0,False,False,True,True,126500.0
85.0,14.0,1474.0,,8530.0,False,True,True,True,168500.0
86.0,15.0,2417.0,121.0,16059.0,False,True,True,True,260000.0
